Date_COV,Absolute_time_COV,Dugramm_COV,Country_name_COV,City_COV,Confirmed_COV,Deaths_COV,Recovered_COV,Active_COV,Incident_rate_COV,Case_fatality_ratio_COV,Lat_COV,Long__COV,Main_key
2021-01-02,1609534800,US,The United States of America,Queens,127132,7578,0.0,119554.0,5640.639294933399,5.960733725576566,40.71088124,-73.81684712,Queens_US_1609534800
2021-01-02,1609534800,US,The United States of America,Columbus,3629,83,0.0,3546.0,6537.796353678749,2.287131441168366,34.26744084,-78.65801424,Columbus_US_1609534800
2021-01-02,1609534800,US,The United States of America,Philadelphia,95401,2450,0.0,92951.0,6022.547068805301,2.5681072525445225,40.00338507,-75.1379271,Philadelphia_US_1609534800
2021-01-02,1609534800,MY,Malaysia,Johor Bahru,5849,34,2858.0,2957.0,155.21999893848522,0.5812959480253035,1.4854,103.7618,Johor Bahru_MY_1609534800
2021-01-02,1609534800,MY,Malaysia,Kuala Lumpur,13945,23,9141.0,4781.0,784.131803868646,0.1649336679813553,3.139,101.6869,Kuala Lumpur_MY_1609534800
2021-01-02,1609534800,US,The United States of America,Raleigh,2761,29,0.0,2732.0,3763.580103869904,1.0503440782325244,37.76936795,-81.2456041,Raleigh_US_1609534800
2021-01-02,1609534800,US,The United States of America,Milwaukee,92090,1003,0.0,91087.0,9737.492677583148,1.0891519166033228,43.00486062,-87.96733172,Milwaukee_US_1609534800
2021-01-02,1609534800,US,The United States of America,Providence,58946,1348,0.0,57598.0,9225.722339344937,2.2868388016150374,41.87064746,-71.57753536,Providence_US_1609534800
2021-01-02,1609534800,US,The United States of America,Austin,1037,15,0.0,1022.0,3452.983484283431,1.446480231436837,29.88548725,-96.27736949,Austin_US_1609534800
2021-01-02,1609534800,SE,Sweden,Stockholm,118357,3271,0.0,115086.0,4979.089900596572,2.763672617589158,59.6025,18.1384,Stockholm_SE_1609534800
2021-01-02,1609534800,SE,Sweden,Uppsala,17704,352,0.0,17352.0,4613.865050180734,1.988251242657027,60.0092,17.2715,Uppsala_SE_1609534800
2021-01-02,1609534800,RU,Russia,Moscow,815676,11280,633702.0,170694.0,6522.033239120749,1.3829020346313978,55.7504461,37.6174943,Moscow_RU_1609534800
2021-01-02,1609534800,ES,Spain,Madrid,399499,11828,40736.0,346935.0,6015.057405171517,2.9607082871296297,40.4168,-3.7038,Madrid_ES_1609534800
2021-01-02,1609534800,ES,Spain,Murcia,60316,744,2180.0,57392.0,4054.412860977251,1.233503547980635,37.9922,-1.1307,Murcia_ES_1609534800
2021-01-02,1609534800,US,The United States of America,Denver,48023,669,0.0,47354.0,6603.72299098886,1.3930824813110383,39.76018276,-104.8725695,Denver_US_1609534800
2021-01-02,1609534800,US,The United States of America,Hartford,46680,1852,0.0,44828.0,5234.827075763693,3.967437874892888,41.80283011,-72.73103891,Hartford_US_1609534800
2021-01-02,1609534800,US,The United States of America,San Francisco,24405,187,0.0,24219.0,2768.5358386204284,0.7662050315496189,37.75215114,-122.4385672,San Francisco_US_1609534800
2021-01-02,1609534800,US,The United States of America,San Diego,168145,1592,0.0,166553.0,5036.799837044271,0.946801867435844,33.03484597,-116.7365326,San Diego_US_1609534800
2021-01-02,1609534800,US,The United States of America,Fresno,72796,717,0.0,72091.0,7287.351328844631,0.9847818920997692,36.75733899,-119.6466953,Fresno_US_1609534800
2021-01-02,1609534800,US,The United States of America,Los Angeles,790582,10552,0.0,780030.0,7875.023146979109,1.3347129077059685,34.30828379,-118.2282411,Los Angeles_US_1609534800
2021-01-02,1609534800,US,The United States of America,Sacramento,67653,848,0.0,66810.0,4359.244306591635,1.2533624996304946,38.45106826,-121.3425374,Sacramento_US_1609534800
2021-01-02,1609534800,CN,China,Shanghai,1520,7,1420.0,93.0,6.111561324994537,0.4605263157894737,31.202,121.4491,Shanghai_CN_1609534800
2021-01-02,1609534800,CN,China,Tianjin,312,3,300.0,9.0,2.2501067178017844,0.9615384615384616,39.3054,117.323,Tianjin_CN_1609534800
2021-01-02,1609534800,DE,Germany,Hamburg,37297,658,27236.0,9403.0,2013.3572436487773,1.7642169611496905,53.5511,9.9937,Hamburg_DE_1609534800
2021-01-02,1609534800,DE,Germany,Berlin,97652,1277,78947.0,17428.0,2665.110663281013,1.3077049113177406,52.52,13.405,Berlin_DE_1609534800
2021-01-02,1609534800,BE,Belgium,Namur,35462,0,0.0,35462.0,7152.019232320625,0.0,50.331,4.8221,Namur_BE_1609534800
2021-01-02,1609534800,BE,Belgium,Brussels,81557,0,0.0,81557.0,6694.575437818848,0.0,50.8503,4.3517,Brussels_BE_1609534800
2021-01-02,1609534800,CN,China,Beijing,988,9,944.0,35.0,4.5128384086398015,0.9109311740890688,40.1824,116.4142,Beijing_CN_1609534800
2021-01-02,1609534800,CN,China,Chongqing,590,6,584.0,0.0,1.8406347831493568,1.0169491525423728,30.0572,107.874,Chongqing_CN_1609534800
2021-01-02,1609534800,BR,Brazil,São Paulo,1466191,46775,1287986.0,131430.0,3192.990778184452,3.190239198030816,-23.5505,-46.6333,São Paulo_BR_1609534800
2021-01-02,1609534800,MX,Mexico,San Luis Potosí,39968,3074,0.0,36894.0,1394.4877818335588,7.691152922337871,22.1565,-100.9855,San Luis Potosí_MX_1609534800
2021-01-02,1609534800,NL,Netherlands,Groningen,15255,97,0.0,15158.0,2603.837737639665,0.6358570960340871,53.217922,6.741514,Groningen_NL_1609534800
2021-01-02,1609534800,MX,Mexico,Oaxaca,28404,2130,0.0,26274.0,685.4920355353433,7.498943810730883,17.0732,-96.7266,Oaxaca_MX_1609534800
2021-01-02,1609534800,MX,Mexico,Aguascalientes,17021,1371,0.0,15650.0,1186.4341801224705,8.054755889783209,21.8853,-102.2916,Aguascalientes_MX_1609534800
2021-01-02,1609534800,MX,Mexico,Mexico City,147443,19017,0.0,128426.0,846.0223585434527,12.897865615865117,19.4969,-99.7233,Mexico City_MX_1609534800
2021-01-02,1609534800,MX,Mexico,Puebla,47636,5755,0.0,41881.0,721.2711548620771,12.081199093122848,19.0414,-98.2063,Puebla_MX_1609534800
2021-01-02,1609534800,PE,Peru,Lima,449514,42170,0.0,407344.0,4229.326809992002,9.381242853392775,-11.766533,-76.60449799999998,Lima_PE_1609534800
2021-01-02,1609534800,NL,Netherlands,Utrecht,67465,870,0.0,66595.0,4979.576833767089,1.289557548358408,52.084251,5.163824,Utrecht_NL_1609534800
2021-01-02,1609534800,PK,Pakistan,Islamabad,38020,421,34617.0,2982.0,1894.7737733806712,1.1073119410836405,33.665087,73.121219,Islamabad_PK_1609534800
2021-01-02,1609534800,IN,India,Chandigarh,19799,318,19045.0,436.0,1709.0601162046937,1.6061417243295115,30.733839,76.76827800000002,Chandigarh_IN_1609534800
2021-01-02,1609534800,IN,India,Delhi,625954,10557,609322.0,6075.0,3345.3936690025216,1.6865456567095984,28.646519,77.10898,Delhi_IN_1609534800
2021-01-02,1609534800,JP,Japan,Akita,143,1,100.0,42.0,14.795807509648316,0.6993006993006993,39.748679,140.408228,Akita_JP_1609534800
2021-01-02,1609534800,JP,Japan,Saitama,14511,211,11017.0,3283.0,197.43681810927345,1.4540693267176623,35.997101,139.347635,Saitama_JP_1609534800
2021-01-02,1609534800,JP,Japan,Shizuoka,2717,41,2177.0,499.0,74.57058104123256,1.5090172984909829,34.916975,138.40778400000002,Shizuoka_JP_1609534800
2021-01-02,1609534800,JP,Japan,Tokyo,61105,631,50365.0,10109.0,438.951794178194,1.0326487194173963,35.711343,139.446921,Tokyo_JP_1609534800
2021-01-02,1609534800,JP,Japan,Toyama,562,26,478.0,58.0,53.85710808412442,4.6263345195729535,36.637464,137.26934599999998,Toyama_JP_1609534800
2021-01-02,1609534800,JP,Japan,Wakayama,629,7,565.0,57.0,68.00492576219034,1.1128775834658189,33.911879,135.505446,Wakayama_JP_1609534800
2021-01-02,1609534800,JP,Japan,Osaka,30297,588,25866.0,3843.0,343.9181697927535,1.940786216457075,34.620965000000005,135.507481,Osaka_JP_1609534800
2021-01-02,1609534800,JP,Japan,Chiba,11208,121,8660.0,2427.0,179.0592106377275,1.0795860099928622,35.510141,140.198917,Chiba_JP_1609534800
2021-01-02,1609534800,JP,Japan,Fukuoka,9121,119,7272.0,1730.0,178.71421772411628,1.3046815042210285,33.526032,130.666949,Fukuoka_JP_1609534800
2021-01-02,1609534800,JP,Japan,Hiroshima,3392,36,1778.0,1578.0,120.96240715190233,1.0613207547169812,34.605309000000005,132.788719,Hiroshima_JP_1609534800
2021-01-02,1609534800,JP,Japan,Kochi,669,8,540.0,121.0,95.8412902615794,1.195814648729447,33.422519,133.367307,Kochi_JP_1609534800
2021-01-02,1609534800,JP,Japan,Kumamoto,1905,18,1466.0,421.0,109.00869609004975,0.9448818897637796,32.608154,130.74523100000002,Kumamoto_JP_1609534800
2021-01-02,1609534800,JP,Japan,Kyoto,4906,53,3431.0,1422.0,189.9373470019052,1.0803098247044436,35.253815,135.443341,Kyoto_JP_1609534800
2021-01-02,1609534800,JP,Japan,Miyazaki,783,9,668.0,106.0,72.9525081966755,1.1494252873563218,32.193203999999994,131.299374,Miyazaki_JP_1609534800
2021-01-02,1609534800,JP,Japan,Nagano,1206,15,1029.0,162.0,58.864012417085206,1.243781094527363,36.132134,138.045528,Nagano_JP_1609534800
2021-01-02,1609534800,JP,Japan,Nagasaki,675,4,311.0,360.0,50.88486902611638,0.5925925925925926,33.235712,129.608033,Nagasaki_JP_1609534800
2021-01-02,1609534800,JP,Japan,Niigata,545,3,436.0,106.0,24.51525028496167,0.5504587155963303,37.521819,138.918647,Niigata_JP_1609534800
2021-01-02,1609534800,JP,Japan,Okayama,1390,15,762.0,613.0,73.56108692591923,1.079136690647482,34.89246,133.826252,Okayama_JP_1609534800
2021-01-02,1609534800,JP,Japan,Kagoshima,1031,14,875.0,142.0,64.34608833825446,1.3579049466537343,31.009484000000004,130.430665,Kagoshima_JP_1609534800
2021-01-02,1609534800,US,The United States of America,Oakland,61195,1636,0.0,59559.0,4866.076540414,2.6734210311299944,42.66090111,-83.38595416,Oakland_US_1609534800
2021-01-02,1609534800,US,The United States of America,Baltimore,39001,942,0.0,38059.0,4713.852327253829,2.4153226840337427,39.45784712,-76.62911955,Baltimore_US_1609534800
2021-01-02,1609534800,US,The United States of America,Boise,240,2,0.0,238.0,3064.74268931171,0.8333333333333334,43.98829931,-115.7309284,Boise_US_1609534800
2021-01-02,1609534800,US,The United States of America,Honolulu,18235,224,0.0,18011.0,1871.095044650782,1.2284069097888677,21.45803166,-157.97121819999995,Honolulu_US_1609534800
2021-01-03,1609621200,US,The United States of America,Queens,128917,7586,0.0,121331.0,5719.836830891743,5.884406245879132,40.71088124,-73.81684712,Queens_US_1609621200
2021-01-03,1609621200,US,The United States of America,Columbus,3775,83,0.0,3692.0,6800.821503206745,2.198675496688742,34.26744084,-78.65801424,Columbus_US_1609621200
2021-01-03,1609621200,US,The United States of America,Philadelphia,95793,2450,0.0,93343.0,6047.293543695204,2.5575981543536583,40.00338507,-75.1379271,Philadelphia_US_1609621200
2021-01-03,1609621200,MY,Malaysia,Johor Bahru,6429,34,2888.0,3507.0,170.61196327158856,0.5288536319800902,1.4854,103.7618,Johor Bahru_MY_1609621200
2021-01-03,1609621200,MY,Malaysia,Kuala Lumpur,14101,25,9977.0,4099.0,792.9037336932074,0.1772923906105949,3.139,101.6869,Kuala Lumpur_MY_1609621200
2021-01-03,1609621200,US,The United States of America,Raleigh,2833,30,0.0,2803.0,3861.7248946988175,1.0589481115425343,37.76936795,-81.2456041,Raleigh_US_1609621200
2021-01-03,1609621200,US,The United States of America,Milwaukee,92473,1003,0.0,91470.0,9777.990665372425,1.084640922215133,43.00486062,-87.96733172,Milwaukee_US_1609621200
